Id,CreateDate,AnonymousId,TestId,UserAgent,,,ScreenPixelsWidth,ScreenPixelsHeight,BrowserName,BrowserType,BrowserMajorVersion,BrowserMinorVersion,,CintId,,PageWidth,PageHeight,Os,Browser,WelcomePageVisitTime,FiltersPassTime,ExtensionSetupTime,MultimediaPermitTime,CameraSetupTime,MicrophoneSetupTime,ScreenOutByModerator,ScreenOutByRuleId,UserNumber,ClientTimeZoneMins,AppVersion,DeviceId,Vendor,Model,Firmware,DeviceType,ClientTime,FaceCam,MobileDataSaved
6DD53403-4CD3-4C3F-AA6D-CA9E16133021,2021-08-10T07:37:07.883Z,d9739e45-badb-4f01-b509-ac9b06d2062e,64C4F58D-E1CA-4329-8E38-C90C65F9750F,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",,,1366,738,Chrome,browser,92,0,,null,,null,null,Windows10,Chrome,null,null,null,null,null,null,null,null,273,180,null,null,Unknown,Unknown,null,PC,null,false,false
FA3CAE99-E24F-47CC-BA56-869A395D04A9,2021-08-10T07:36:31.170Z,dc0d728a-0c83-40bf-b889-58315f3bc71e,64C4F58D-E1CA-4329-8E38-C90C65F9750F,"Mozilla/5.0 (Linux; Android 11; SM-G985F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36",,,412,915,Chrome Mobile,browser,92,0,,null,,null,null,Android11,ChromeMobile,null,null,null,null,null,null,null,null,272,180,null,null,Unknown,Linux,null,PC,null,false,false
37D22FDC-06AF-4481-B5DA-4C3125BEA32D,2021-08-10T07:36:23.873Z,8ec069c6-fd28-4ca9-86ab-79ada591d0a9,64C4F58D-E1CA-4329-8E38-C90C65F9750F,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",,,1366,728,Chrome,browser,92,0,,null,,null,null,Windows10,Chrome,null,null,null,null,null,null,null,null,null,180,null,null,Unknown,Unknown,null,PC,null,false,false
B5C1EE81-3534-4FDE-92D3-666C2C2916C7,2021-08-10T07:36:20.277Z,af1d45f7-ca9f-478b-9d20-30f82fc6a16e,64C4F58D-E1CA-4329-8E38-C90C65F9750F,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.135 YaBrowser/21.6.3.757 Yowser/2.5 Safari/537.36",,,1920,1160,Yandex Browser,browser,91,0,,null,,null,null,Windows10,YandexBrowser,null,null,null,null,null,null,null,null,269,180,null,null,Unknown,Unknown,null,PC,null,false,false
8694E3A3-3182-44BC-B5E1-C95DF805F218,2021-08-10T07:36:11.207Z,f487ee03-88c7-4d2b-8485-29728409cf07,64C4F58D-E1CA-4329-8E38-C90C65F9750F,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",,,1440,860,Chrome,browser,92,0,,null,,null,null,Windows7,Chrome,null,null,null,null,null,null,null,null,null,180,null,null,Unknown,Unknown,null,PC,null,false,false
E1172D76-C691-4B9D-B257-D5FC61A7461B,2021-08-10T07:35:53.660Z,099021bf-5ccb-43f5-bf39-50f4839c970e,8B98D4C9-05F6-40EF-8F57-B471FC85683C,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.135 YaBrowser/21.6.3.756 Yowser/2.5 Safari/537.36",,,1366,728,Yandex Browser,browser,91,0,,null,,null,null,Windows7,YandexBrowser,null,null,null,null,null,null,null,null,null,540,null,null,Unknown,Unknown,null,PC,null,false,false
4F09E222-AF9C-42AE-93FE-ACDBCE69A0B1,2021-08-10T07:35:42.770Z,863e93cb-dfa3-42ab-8862-0c33ed493753,64C4F58D-E1CA-4329-8E38-C90C65F9750F,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",,,1366,728,Chrome,browser,92,0,,null,,null,null,Windows7,Chrome,null,null,null,null,null,null,null,null,null,180,null,null,Unknown,Unknown,null,PC,null,false,false
3A69EDBE-367C-4986-BC37-693B65510D69,2021-08-10T07:35:42.190Z,3ce6bb04-0f14-4686-bcf7-5fc8fd09d5d5,64C4F58D-E1CA-4329-8E38-C90C65F9750F,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",,,1600,860,Chrome,browser,92,0,,null,,null,null,Windows10,Chrome,null,null,null,null,null,null,null,null,267,180,null,null,Unknown,Unknown,null,PC,null,false,false
1D777CAE-94E6-4884-A87D-1FA58E2C578F,2021-08-10T07:35:33.190Z,ce963a5e-c0fc-4483-a563-bd9f3f02820f,64C4F58D-E1CA-4329-8E38-C90C65F9750F,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",,,1920,1050,Chrome,browser,92,0,,null,,null,null,Windows7,Chrome,null,null,null,null,null,null,null,null,266,180,null,null,Unknown,Unknown,null,PC,null,false,false
1DBB3F6E-E7F6-4983-8FC6-D105B4B08BD0,2021-08-10T07:35:32.710Z,5e9628f0-0a40-4645-bcee-e2eff91dfd05,64C4F58D-E1CA-4329-8E38-C90C65F9750F,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",,,1920,1040,Chrome,browser,92,0,,null,,null,null,Windows10,Chrome,null,null,null,null,null,null,null,null,268,180,null,null,Unknown,Unknown,null,PC,null,false,false
B1B7D171-8417-412C-865D-AEF265DFF5C2,2021-08-10T07:35:24.447Z,d21011aa-a00e-453f-a1c3-a2350ea65a51,64C4F58D-E1CA-4329-8E38-C90C65F9750F,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.135 YaBrowser/21.6.3.757 Yowser/2.5 Safari/537.36",,,1920,1040,Yandex Browser,browser,91,0,,null,,null,null,Windows10,YandexBrowser,null,null,null,null,null,null,null,null,null,180,null,null,Unknown,Unknown,null,PC,null,false,false
E3C0C7C2-8DD3-4F4C-A73D-B8C9B01AEF66,2021-08-10T07:35:15.783Z,4efc9b14-7634-4cec-bdde-9c40a05c1fc9,64C4F58D-E1CA-4329-8E38-C90C65F9750F,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",,,1920,1080,Chrome,browser,92,0,,null,,null,null,Windows7,Chrome,null,null,null,null,null,null,null,null,271,180,null,null,Unknown,Unknown,null,PC,null,false,false
FE39DE11-893E-4F5E-842A-AE0C94DED2F7,2021-08-10T07:34:16.187Z,6911d8ce-09c3-4229-93c1-6103bfc7f7f2,64C4F58D-E1CA-4329-8E38-C90C65F9750F,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",,,1440,860,Chrome,browser,92,0,,null,,null,null,Windows7,Chrome,null,null,null,null,null,null,null,null,265,180,null,null,Unknown,Unknown,null,PC,null,false,false
